No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3
563,130110,MTG AMANDA 1/4KG,0,MIHUN,MIHUN,BKS,KG,DOS
564,130111,MTG AMANDA 15KG,0,MENTEGA,MNTG,KG,KG,DOS
565,130112,MTG BLUE BAND 15KG,0,MENTEGA,MNTG,KG,KG,DOS
566,130113,MTG BLUE BAND 45GR P4000AN,0,MENTEGA,MNTG,RTG,RTG,DOS
567,130114,MTG BLUE BAND MASTER 4.5KG,0,MENTEGA,MNTG,KTK,KTK,KTK
568,130115,MTG BLUE BAND SC 200GR,0,MENTEGA,MNTG,BKS,BKS,DOS
569,130116,MTG BLUE BAND STICK 2000AN,0,MENTEGA,MNTG,RTG,RTG,DOS
570,130117,MTG FORVITA FILMA 200GR,0,MENTEGA,MNTG,BKS,BKS,BKS
571,130118,MTG SIMAS 15KG,0,MENTEGA,MNTG,KG,KG,DOS
572,130119,MTG SIMAS 5KG,0,MENTEGA,MNTG,DOS,DOS,DOS
573,130120,MUTIARA KUCING,0,BAHAN KUE,BHNK,BKS,PRES,IKT
574,130121,MINYAK WIJEN 135ML PEGASUS,0,MINYAK,MYK,PCS,PCS,LSN
575,130122,MINYAK GR XXXX,0,,,BKS,BKS,BKS
576,130123,MINYAK GR KITA MIX 2L,0,,,BKS,BKS,DOS
577,130124,MINYAK KUNCIMAS 900ML,0,,,PCS,PCS,DOS
578,130125,MINYAK GR FILMA 1L,0,,,PCS,PCS,DOS
579,130126,MINYAK GR SABRINA 450ML,0,,,PCS,PCS,DOS
580,130127,MIE EKO MIE,0,,,PRES,PRES,DOS
581,130128,MINYAK GR KITA xx xxxx,0,,,PCS,PCS,DOS
582,130129,MAKARONI SEDANI,0,,,BKS,BKS,DOS
583,130130,MIE EKO MIE ISI 2,0,,,PCS,PCS,DOS
584,130131,MIRI BULAT,0,,,ONS,KG,KG
585,130132,MAKARONI SRIKANDI,0,,,PCS,PCS,IKT
586,130133,MINYAK GR KITA BOTOL 1L,0,,,PCS,PCS,DOS
587,140001,NIKISARI SAOS TOMAT,0,SAOS,SAOS,BKS,BKS,DOS
588,140002,NIKISARI SAOS SAMBAL,0,SAOS,SAOS,BKS,BKS,DOS
589,140003,NUTRIJELL K ANGGUR,0,JELLY,JELLY,BKS,KTK,DOS
590,140004,NUTRIJELL K KELAPA MUDA,0,JELLY,JELLY,BKS,KTK,DOS
591,140005,NUTRIJELL K LECI,0,JELLY,JELLY,BKS,KTK,DOS
592,140006,NUTRIJELL K JERUK,0,JELLY,JELLY,BKS,KTK,DOS
593,140007,NUTRIJELL K MANGGA,0,JELLY,JELLY,BKS,KTK,DOS
594,140008,NUTRIJELL K MELON,0,JELLY,JELLY,BKS,KTK,DOS
595,140009,NUTRIJELL K STRAWBERRY,0,JELLY,JELLY,BKS,KTK,DOS
596,140010,NUTRIJELL K COKLAT,0,JELLY,JELLY,BKS,KTK,DOS
597,140011,NUTRISARI,0,MINUMAN,MIN,RTG,PRES,DOS
598,140012,NUTRIJELL K JAMBU,0,,,BKS,KTK,DOS
599,140013,NUTRIJELL K KURMA CINCAU,0,,,BKS,KTK,DOS
600,140014,NUTRIJELL K PLAIN,0,,,BKS,KTK,DOS
601,140015,N________,0,,,PCS,PCS,PCS
602,140016,N________,0,,,PCS,PCS,PCS
603,140017,N________,0,,,PCS,PCS,PCS
604,140018,N________,0,,,PCS,PCS,PCS
