,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3,Satuan 4,Konversi 1,Konversi 2,Konversi 3,Konversi 4,Satuan Beli,Satuan Jual,Default Qty Jual,PPN,Keterangan,HJ 1 - Satuan 1,HJ 2 - Satuan 1,HJ 3 - Satuan 1,HJ 1- Satuan 2,HJ 2- Satuan 2,HJ 3- Satuan 2,HJ 1 - Satuan 3,HJ 2 - Satuan 3,HJ 3 - Satuan 3,HJ 1 - Satuan 4,HJ 2 - Satuan 4,HJ 3 - Satuan 4,Harga Perolehan,Harga Beli
102,20060,BUBUR NESTLE CERELAC HJ xxx,0,MINUMAN,MINUMAN,RTG,RTG,DOS,,1,1,16,0,3,1,0,0,,13000,0,0,13000,0,0,187500,0,0,0,0,0,0,0
103,20061,BUMBU RACIK TEMPE,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,15283.73,15180
104,20062,BUMBU RACIK SOP,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,15622.29,15180
105,20063,BUMBU RACIK ASEM,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,15680.2,15680
106,20064,BUMBU RACIK AYAM,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,0,15180
107,20065,BUMBU RACIK IKAN,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,15285.35,14180
108,20066,BUMBU RACIK NASI GORENG,0,MISC,BUMBU,RTG,LOS,DOS,,1,1,20,0,3,1,0,0,,16500,0,0,16300,0,0,322500,0,0,0,0,0,15571.22,14900
109,20067,BIO PLUS 230ML xxx,0,,,BKS,BKS,DOS,,1,1,24,0,3,1,0,0,,3500,0,0,3500,0,0,81000,0,0,0,0,0,3217.5,3217.5
110,20068,BIO PLUS 780ML xxx,0,,,BKS,BKS,DOS,,1,1,12,0,3,1,0,0,,14000,0,0,14000,0,0,165000,0,0,0,0,0,12659.58,12659.58
111,20069,Bubur Sun Merah,0,MINUMAN,MINUMAN,RTG,RTG,DOS,,1,1,25,0,3,1,0,0,,12500,0,0,12500,0,0,300000,0,0,0,0,0,11386.4,11184.96
112,20070,BAWANG SICO,0,PALAWIJA,PALAWIJA,ONS,LOS,KG,,1,10,10,0,3,3,0,0,,4000,0,0,27500,0,0,28000,0,0,0,0,0,1806.58,2225
113,20071,BRAMBANG PROB,0,PALAWIJA,PALAWIJA,KG,KG,KG,,1,1,1,0,1,1,0,0,,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
114,20072,BAWANG GORENG BJ 50gr,0,MISC,BUMBU,PCS,PRES,DOS,,1,20,160,0,3,2,0,0,,4000,0,0,71500,0,0,550000,0,0,0,0,0,3307.7,3307.7
115,20073,BAWANG GORENG BJ 100GR,0,MISC,BUMBU,PCS,PRES,DOS,,1,10,80,0,3,2,0,0,,8000,0,0,70000,0,0,547500,0,0,0,0,0,6605.66,6605.63
116,20074,BIO P500 BARU,0,MSG,MSG,RTG,PRES,DOS,,1,8,160,0,3,2,0,0,,2800,0,0,20500,0,0,392500,0,0,0,0,0,2390.64,2390.63
117,20075,BERAS 25KG LOMBOK xxx,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,0,0,0,0,0,0,367500,0,0,0,0,0,14300,14300
118,20076,BIHUN SAWI 1/4an,0,BIHUN,BIHUN,PCS,PCS,BAL,,1,1,20,0,3,3,0,0,,1,0,0,1,0,0,85000,0,0,0,0,0,3925,3925
119,20077,BERAS 5KG LOMBOK,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,77000,0,0,76500,0,0,0,0,0,0,0,0,74400.12,74750
120,20078,Bubur Sun Hijau,0,MINUMAN,MINUMAN,RTG,RTG,DOS,,1,1,25,0,3,1,0,0,,12500,0,0,12500,0,0,300000,0,0,0,0,0,11519.33,11520
121,20079,BERAS 10KG MENTARI,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,152000,0,0,151000,0,0,0,0,0,0,0,0,148087.2,147750
122,20080,BERAS 3KG MELON PELANGI xxx,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,47000,0,0,46500,0,0,0,0,0,0,0,0,44461.22,44700
123,20081,BERAS 5KG Premium Mix,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,77500,0,0,77000,0,0,0,0,0,0,0,0,74500,74500
124,20082,BERAS 3KG LOMBOK,0,,,BKS,BKS,BKS,,1,1,1,0,3,1,0,0,,47000,0,0,47000,0,0,47000,0,0,0,0,0,44700,44700
125,20083,B________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,20084,B________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,20085,B________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,30001,CARNATION MILK B,0,SUSU,SUSU,KLG,LOS,DOS,,1,1,48,0,3,1,0,0,,14750,0,0,14500,0,0,658000,0,0,0,0,0,13455.5,13452.23
129,30002,CHARM ISI 1,0,PEMBALUT,PEMBALUT,RTG,RTG,DOS,,1,1,48,0,3,1,0,0,,4500,0,0,4500,0,0,199500,0,0,0,0,0,3955.48,3955.6
130,30003,CHARM ISI 8,0,PEMBALUT,PEMBALUT,BKS,IKT,DOS,,1,6,60,0,3,2,0,0,,5250,0,0,30000,0,0,285000,0,0,0,0,0,3340.13,4008.33
