Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
427,110078 - KOPI KAPAL API SPECIAL MIX,214,RTG,,,
428,110079 - KOPI KAPAL API SUSU,0,RTG,,,
429,110104 - KOPI NONGKRONG CUP xxx,0,DOS,,,
430,110123 - KOPI PIKOPI AREN,25,RTG,,,
431,110086 - KOPI TORABIKA CAFE MR / CAPP,0,RTG,,,
432,110080 - KOPI TORABIKA CAPU,85,RTG,,,
433,110081 - KOPI TORABIKA CREAMY,4,RTG,,,
434,110082 - KOPI TORABIKA DUO,0,RTG,,,
435,110083 - KOPI TORABIKA JAHE,0,RTG,,,
436,110084 - KOPI TORABIKA MOKA,55,RTG,,,
437,110085 - KOPI TORABIKA SUSU,140,RTG,,,
438,110125 - KOPI XXXX,0,RTG,,,
439,110088 - KOPI xxxxxx,0,RTG,,,
440,110087 - KOPI YA SP,59,RTG,,,
441,110149 - KOPI YA SP / fresco MINI RTG,110,RTG,,,
442,110126 - KOPI YA SP 120gr + gelas,1018,BKS,,,
443,110160 - KOPI YA SUSU 10+1,588,RTG,,,
444,110135 - KREMER TIGA SAPI,0,KLG,,,
445,110089 - KRESEK 01*15  CJDW xxxx,0,BKS,,,
446,110093 - KRESEK 02* xxxx,0,BKS,,,
447,110090 - KRESEK 02*15 CJDW kecil,185,BKS,,,
448,110091 - KRESEK 02*21 xxxx,0,BKS,,,
449,110092 - KRESEK 02*24  CJDW 3kg,183,BKS,,,
450,110094 - KRESEK 02*28  CJDW xxxx,0,BKS,,,
451,110095 - KRESEK 03*28 CJWD 5kg,166,BKS,,,
452,110096 - KRESEK 03*35 CJDW xxxx,0,BKS,,,
453,110097 - KRESEK 04*40 CJDW besar,37,BKS,,,
454,110098 - KRESEK 04*40 MR CJDW besar,40,BKS,,,
455,110151 - KRUPUK KRUFIN UDANG / BAWANG 500GR,0,BKS,,,
456,110153 - KRUPUK KRUFIN UDANG/ BAWANG 250GR,182,BKS,,,
457,110099 - KRUPUK PESTA,24,BAL,,,
458,110100 - KRUPUK TAHU DACIL,24,BAL,,,
459,110101 - KRUPUK UDANG Kelapa Gading Bungkus,2490,KG,,,
460,110165 - KRUPUK UNYIL,5,BAL,,,
461,110102 - KUKU BIMA,164,KTK,,,
25/05/2026 15:20:20,,,,Halaman ke 9 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
462,110150 - KUNYIT DESAKU,144,RTG,,,
463,110103 - KUXXXXXX,0,RTG,,,
464,110105 - KXXX ANGGUR XXXX,0,PCS,,,
465,110114 - KXXX COKLAT XXXX,0,PCS,,,
